constructorId,year,driverId,forename,surname,total_points,num_races
3,2003,48,Marc,Gené,4,1
16,2003,11,Takuma,Sato,3,1
6,2004,30,Michael,Schumacher,148,18
6,2004,22,Rubens,Barrichello,114,18
4,2004,4,Fernando,Alonso,59,18
3,2004,23,Ralf,Schumacher,24,12
3,2004,31,Juan,"Pablo Montoya",58,18
16,2004,18,Jenson,Button,85,18
4,2004,15,Jarno,Trulli,46,15
1,2004,14,David,Coulthard,24,18
16,2004,11,Takuma,Sato,34,18
15,2004,21,Giancarlo,Fisichella,22,18
19,2004,32,Christian,Klien,3,18
7,2004,43,Cristiano,"da Matta",3,12
7,2004,44,Olivier,Panis,6,17
17,2004,45,Giorgio,Pantano,0,14
15,2004,13,Felipe,Massa,12,18
17,2004,2,Nick,Heidfeld,3,18
18,2004,46,Gianmaria,Bruni,0,18
19,2004,17,Mark,Webber,7,18
18,2004,47,Zsolt,Baumgartner,1,18
1,2004,8,Kimi,Räikkönen,45,18
17,2004,10,Timo,Glock,2,4
3,2004,48,Marc,Gené,0,2
3,2004,42,Antônio,Pizzonia,6,4
7,2004,41,Ricardo,Zonta,0,5
4,2004,35,Jacques,Villeneuve,0,3
7,2004,15,Jarno,Trulli,0,2
4,2005,21,Giancarlo,Fisichella,58,19
6,2005,22,Rubens,Barrichello,38,19
4,2005,4,Fernando,Alonso,133,19
9,2005,14,David,Coulthard,24,19
3,2005,17,Mark,Webber,36,19
1,2005,31,Juan,"Pablo Montoya",60,17
9,2005,32,Christian,Klien,9,15
1,2005,8,Kimi,Räikkönen,112,19
7,2005,15,Jarno,Trulli,43,19
15,2005,13,Felipe,Massa,11,19
16,2005,18,Jenson,Button,37,17
7,2005,23,Ralf,Schumacher,45,18
15,2005,35,Jacques,Villeneuve,9,19
16,2005,11,Takuma,Sato,1,16
17,2005,39,Narain,Karthikeyan,5,19
17,2005,33,Tiago,Monteiro,7,19
18,2005,40,Patrick,Friesacher,3,11
6,2005,30,Michael,Schumacher,62,19
3,2005,2,Nick,Heidfeld,28,14
18,2005,27,Christijan,Albers,4,19
16,2005,19,Anthony,Davidson,0,1
1,2005,37,Pedro,"de la Rosa",4,1
1,2005,25,Alexander,Wurz,6,1
9,2005,24,Vitantonio,Liuzzi,1,4
7,2005,41,Ricardo,Zonta,0,1
18,2005,38,Robert,Doornbos,0,8
3,2005,42,Antônio,Pizzonia,2,5
4,2006,4,Fernando,Alonso,134,18
6,2006,30,Michael,Schumacher,121,18
1,2006,8,Kimi,Räikkönen,65,18
11,2006,18,Jenson,Button,56,18
1,2006,31,Juan,"Pablo Montoya",26,10
3,2006,17,Mark,Webber,7,18
3,2006,3,Nico,Rosberg,4,18
9,2006,32,Christian,Klien,2,15
6,2006,13,Felipe,Massa,80,18
9,2006,14,David,Coulthard,14,18
5,2006,24,Vitantonio,Liuzzi,1,18
2,2006,2,Nick,Heidfeld,23,18
5,2006,26,Scott,Speed,0,18
7,2006,23,Ralf,Schumacher,20,18
11,2006,22,Rubens,Barrichello,30,18
7,2006,15,Jarno,Trulli,15,18
13,2006,33,Tiago,Monteiro,0,14
8,2006,11,Takuma,Sato,0,18
8,2006,34,Yuji,Ide,0,4
2,2006,35,Jacques,Villeneuve,7,12
4,2006,21,Giancarlo,Fisichella,72,18
13,2006,27,Christijan,Albers,0,14
8,2006,36,Franck,Montagny,0,7
1,2006,37,Pedro,"de la Rosa",19,8
8,2006,29,Sakon,Yamamoto,0,7
2,2006,9,Robert,Kubica,6,6
14,2006,27,Christijan,Albers,0,4
14,2006,33,Tiago,Monteiro,0,4
9,2006,38,Robert,Doornbos,0,3
6,2007,8,Kimi,Räikkönen,110,17
1,2007,4,Fernando,Alonso,109,17
1,2007,1,Lewis,Hamilton,109,17
2,2007,2,Nick,Heidfeld,61,17
4,2007,21,Giancarlo,Fisichella,21,17
6,2007,13,Felipe,Massa,94,17
3,2007,3,Nico,Rosberg,20,17
7,2007,23,Ralf,Schumacher,5,17
7,2007,15,Jarno,Trulli,8,17
4,2007,5,Heikki,Kovalainen,30,17
11,2007,22,Rubens,Barrichello,0,17
